Wilayah,Nama Produk,Stok,Diskon,Harga Sebelum Diskon,Harga,Penjual,URL Gambar,Menu,Kategori,Subkategori,Waktu
 Kota Jakarta Pusat Gunung Sahari Selatan,SAMSUNG A50S [128GB] SMARTPHONE ,Stok Habis,-,-,Rp4.699.000 , Penjual,https://assets.klikindomaret.com/products/20100648/20100648_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,VIVO V17 PRO [128GB] SMARTPHONE ,Tersedia,-,-,Rp5.699.000 , Penjual,https://assets.klikindomaret.com/products/20100636/20100636_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,SAMSUNG A20S [64GB] SMARTPHONE ,Tersedia,-,-,Rp2.599.000 , Penjual,https://assets.klikindomaret.com/products/20100621/20100621_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,SAMSUNG A10S [32GB] SMARTPHONE ,Tersedia,-,-,Rp1.899.000 , Penjual,https://assets.klikindomaret.com/products/20100644/20100644_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,SAMSUNG A70 [8GB/128GB] SMARTPHONE ,Tersedia,-,-,Rp5.999.000 , Penjual,https://assets.klikindomaret.com/products/20100642/20100642_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,VIVO Y12 [64GB] SMARTPHONE ,Tersedia,-,-,Rp2.099.000 , Penjual,https://assets.klikindomaret.com/products/20100637/20100637_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,XIAOMI REDMI 7A SMARTPHONE ,Tersedia,-,-,Rp1.199.000 , Penjual,https://assets.klikindomaret.com/products/20100626/20100626_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,XIAOMI REDMI 7A SMARTPHONE ,Tersedia,-,-,Rp1.199.000 , Penjual,https://assets.klikindomaret.com/products/20100623/20100623_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,VIVO Y17 [128GB] SMARTPHONE ,Tersedia,-,-,Rp2.799.000 , Penjual,https://assets.klikindomaret.com/products/20100611/20100611_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
 Kota Jakarta Pusat Gunung Sahari Selatan,XIAOMI REDMI 7 [32GB] SMARTPHONE ,Tersedia,-,-,Rp1.799.000 , Penjual,https://assets.klikindomaret.com/products/20100595/20100595_thumb.jpg?Version.20.01.1.01,Gadget & Elektronik,Handphone & Tablet,Handphone,15:24:41439168 02/28/20
